seqID	sampleID	mouse	day	cage	mouseID	species	sex	age	FMT	FMT_type	experiment	group	clinda35	FMTID	type	survey	human_group	Bacteroidetes	Firmicutes	Proteobacteria	Actinobacteria	Verrucomicrobia	Tenericutes	Bacteria_unclassified
d19_1271_2	d19_1271_2	1271_2	19	1271	2	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	39.459326161339	37.2491600135631	7.72787521962948	0.527110754908912	11.4330630991646	2.660213926821	0.903178077124626
d19_1271_3	d19_1271_3	1271_3	19	1271	3	mouse	F	8.5	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	50.3402749421533	32.5847284605962	5.82890975908534	0.472982169593031	9.75568259153396	0.6158976452974	0.370899686947053
d4_1203_2	d4_1203_2	1203_2	4	1203	2	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	34.3893837049435	25.9071074182557	20.3897423635603	0.167374021160858	19.1224819176281	0	0
d4_1203_3	d4_1203_3	1203_3	4	1203	3	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	28.5676037483266	21.4029451137885	18.6559571619813	0.187416331994645	31.1807228915663	0	0.00535475234270415
d4_1203_4	d4_1203_4	1203_4	4	1203	4	mouse	F	6.5	noFMT	none	1	CDI	no	none	fecal	experiment	NA	26.5150326797386	19.7228758169935	22.881045751634	0.0679738562091503	30.7816993464052	0.0261437908496732	0.00522875816993464
d4_1207_1	d4_1207_1	1207_1	4	1207	1	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	76.5598438582132	5.2760813448341	5.2320090662973	4.85424667883901	8.01485865390669	0.0251841591638859	0.0377762387458289
d4_1207_2	d4_1207_2	1207_2	4	1207	2	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	69.2183965820558	13.6868559939683	4.47851218899221	1.50791656195024	11.1032922844936	0	0.00502638853983413
d4_1207_3	d4_1207_3	1207_3	4	1207	3	mouse	M	6	noFMT	none	1	CDI	no	none	fecal	experiment	NA	59.4284631060139	30.5957063646273	0.10899957347993	5.31254442917397	3.76759395289323	0	0.786692573811668
d4_1268_3	d4_1268_3	1268_3	4	1268	3	mouse	M	10	mFMT	mouse	3	CDI	yes	yWT_spore	fecal	experiment	NA	0.552245313181224	96.7446592065107	0.145327713995059	2.49963668071501	0	0	0
d4_1269_1	d4_1269_1	1269_1	4	1269	1	mouse	M	10	mFMT	mouse	3	CDI	yes	rWT	fecal	experiment	NA	63.4415750447456	18.2459728969573	1.13014574277678	3.36998210176425	13.6231142930197	0.0409102531321913	0.148299667604193
