label	s1	s2	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
0.03	d11_1207_1	d11_1270_2	6	0.488467	0.953433	0.468301	0.456365	0.480238	0.226999	34856
0.03	d11_1207_2	d11_1270_2	7	0.553559	0.957013	0.648035	0.63818	0.657891	0.276158	36063
0.03	d11_1207_3	d11_1270_2	6	0.399271	0.953531	0.475071	0.465051	0.48509	0.226108	43071
0.03	d11_1207_4	d11_1270_2	7	0.380356	0.949	0.361921	0.350949	0.372892	0.187296	37457
0.03	d11_1268_1	d11_1270_2	10	0.807123	0.96628	0.832607	0.826406	0.838808	0.395882	39507
0.03	d11_1268_2	d11_1270_2	10	0.846033	0.956069	0.832492	0.826286	0.838698	0.395649	49660
0.03	d11_1269_1	d11_1270_2	7	0.467265	0.948946	0.280621	0.273649	0.287593	0.162073	59095
0.03	d11_1269_2	d11_1270_2	7	0.339022	0.949007	0.219386	0.210737	0.228035	0.115821	49100
0.03	d11_1270_1	d11_1270_2	7	0.505561	0.969657	0.00243	0.001866	0.002993	0.011096	66714
0.03	d11_1203_1	d11_1271_1	4	0.537998	0.946212	0.478303	0.468602	0.488004	0.228535	49766
0.03	d11_1203_2	d11_1271_1	9	0.571296	0.952049	0.446223	0.435025	0.457422	0.201703	45164
0.03	d11_1203_3	d11_1271_1	6	0.656374	0.947275	0.514338	0.501997	0.52668	0.225064	41452
0.03	d11_1203_4	d11_1271_1	5	0.578453	0.946113	0.481918	0.47145	0.492386	0.226642	47060
0.03	d11_1207_1	d11_1271_1	6	0.605289	0.942638	0.45241	0.441468	0.463352	0.232045	45152
0.03	d11_1207_2	d11_1271_1	6	0.653357	0.943875	0.606377	0.596497	0.616257	0.268329	46359
0.03	d11_1207_3	d11_1271_1	4	0.515843	0.938027	0.460269	0.451086	0.469453	0.231627	53367
0.03	d11_1207_4	d11_1271_1	6	0.514292	0.935802	0.381484	0.371534	0.391433	0.201423	47753
0.03	d11_1268_1	d11_1271_1	15	0.565287	0.967363	0.628042	0.620042	0.636042	0.271441	49803
0.03	d11_1268_2	d11_1271_1	18	0.638568	0.963824	0.627731	0.619723	0.63574	0.271398	59956
0.03	d11_1269_1	d11_1271_1	8	0.459008	0.940387	0.379078	0.371087	0.387069	0.195153	69391
0.03	d11_1269_2	d11_1271_1	16	0.232709	0.959147	0.195191	0.188316	0.202066	0.116873	59396
0.03	d11_1270_1	d11_1271_1	10	0.304272	0.966113	0.096376	0.088819	0.103933	0.027155	77010
0.03	d11_1270_2	d11_1271_1	10	0.239127	0.968586	0.103362	0.093866	0.112859	0.018695	43366
0.03	d11_1203_1	d11_1271_2	5	0.569675	0.945056	0.541382	0.532122	0.550643	0.244662	53448
0.03	d11_1203_2	d11_1271_2	9	0.603489	0.948621	0.474848	0.463927	0.485769	0.208671	48846
0.03	d11_1203_3	d11_1271_2	4	0.684539	0.939176	0.503714	0.491426	0.516001	0.223978	45134
0.03	d11_1203_4	d11_1271_2	4	0.609081	0.94035	0.525751	0.515703	0.5358	0.237865	50742
0.03	d11_1207_1	d11_1271_2	5	0.635131	0.936773	0.504078	0.493545	0.514611	0.244548	48834
0.03	d11_1207_2	d11_1271_2	6	0.678783	0.940307	0.618034	0.608452	0.627616	0.272555	50041
0.03	d11_1207_3	d11_1271_2	4	0.546986	0.934549	0.510874	0.501846	0.519901	0.243904	57049
0.03	d11_1207_4	d11_1271_2	6	0.548945	0.932318	0.461933	0.451948	0.471918	0.219059	51435
0.03	d11_1268_1	d11_1271_2	11	0.427802	0.954421	0.482569	0.474133	0.491005	0.214139	53485
0.03	d11_1268_2	d11_1271_2	15	0.518558	0.95332	0.4821	0.473656	0.490545	0.214029	63638
0.03	d11_1269_1	d11_1271_2	8	0.513117	0.936931	0.493782	0.48545	0.502114	0.223236	73073
